Year,State,Commodity,Mode,Shipwt Metric Ton,Shipwt Pound,TradeValue,TradeType,CommodityGroup
2017,Texas-Mexico Trade,Paper and Paperboard,Vessel,235.288,518721.6705,147794,Import,44 - 49  Wood & Wood Products
2017,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Truck,13704.599,30213493.62,60382428,Import,28 - 38  Chemicals & Allied Industries
2023,Texas-Mexico Trade,Other Made up Textile Articles,Air,5.428,11966.7008,201813,Export,50 - 63  Textiles
2020,Texas-Mexico Trade,Aluminum and Articles,Truck,281317.659,620199780.9,866028939,Import,72 - 83  Metals
2013,Texas-Mexico Trade,Meat and Edible Offal,Rail,0,0,945286,Export,01 - 05  Animal & Animal Products
2019,Texas-Mexico Trade,Raw Hides and Skins,Other,0,0,47773,Export,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2020,Texas-Mexico Trade,Iron and Steel,Rail,1044858.872,2303521385,557988436,Import,72 - 83  Metals
2020,Texas-Mexico Trade,Miscellaneous Edible Preparations,Air,0.05,110.2312,3359,Import,16 - 24  Foodstuffs
2013,Texas-Mexico Trade,Articles of Iron and Steel,Other,0,0,6468555,Export,72 - 83  Metals
2017,Texas-Mexico Trade,Printed Books,Truck,33472.796,73794943.47,194089915,Import,44 - 49  Wood & Wood Products
2016,Texas-Mexico Trade,Cork and Articles,Truck,37.536,82752.7814,777087,Import,44 - 49  Wood & Wood Products
2023,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Vessel,1464.123,3227841.318,5395621,Import,90 - 97  Miscellaneous
2016,Texas-Mexico Trade,Measuring and Testing Instruments,Other,0,0,7273566,Export,90 - 97  Miscellaneous
2019,Texas-Mexico Trade,Tools of Base Metal,Vessel,1.145,2524.2948,65154,Import,72 - 83  Metals
2020,Texas-Mexico Trade,Edible Vegetables and Roots,Truck,0,0,95425437,Export,06 - 15  Vegetable Products
2016,Texas-Mexico Trade,Lead and Articles,Vessel,2.617,5769.5021,5500,Export,72 - 83  Metals
2021,Texas-Mexico Trade,Miscellaneous Chemical Products,Vessel,12280.501,27073892.39,23324044,Export,28 - 38  Chemicals & Allied Industries
2020,Texas-Mexico Trade,Tanning or Dyeing Extracts,Foreign Trade Zones,0.484,1067.0382,4647,Import,28 - 38  Chemicals & Allied Industries
2018,Texas-Mexico Trade,Zinc and Articles,Rail,101279.405,223283049.5,284860300,Import,72 - 83  Metals
2022,Texas-Mexico Trade,Other Base Metals and Cermets,Truck,0,0,158325007,Export,72 - 83  Metals
2024,Texas-Mexico Trade,Preparations of Cereals and Flour,Vessel,174.635,385004.5852,1383366,Import,16 - 24  Foodstuffs
2013,Texas-Mexico Trade,Articles of Leather and Handbags,Vessel,7.19,15851.2492,98024,Export,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2018,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,0,0,329445969,Export,68 - 71  Stone / Glass
2020,Texas-Mexico Trade,Sugars and Sugar Confectionery,Truck,466872.842,1029279269,789606198,Import,16 - 24  Foodstuffs
2021,Texas-Mexico Trade,Nickel and Articles,Air,1.107,2440.5186,164342,Export,72 - 83  Metals
2022,Texas-Mexico Trade,Food Residues and Waste,Rail,0,0,1282134439,Export,16 - 24  Foodstuffs
2023,Texas-Mexico Trade,Pharmaceutical Products,Truck,0,0,1261590303,Export,28 - 38  Chemicals & Allied Industries
2024,Texas-Mexico Trade,Printed Books,Other,0,0,1061042,Export,44 - 49  Wood & Wood Products
2018,Texas-Mexico Trade,Iron and Steel,Vessel,478777.081,1055523645,160029419,Export,72 - 83  Metals
2024,Texas-Mexico Trade,Impregnated Fabrics,Vessel,11.308,24929.8929,82621,Import,50 - 63  Textiles
2019,Texas-Mexico Trade,Special Woven Fabrics,Truck,0,0,132088630,Export,50 - 63  Textiles
2018,Texas-Mexico Trade,Aluminum and Articles,Rail,12332.399,27188307.99,27726214,Import,72 - 83  Metals
2021,Texas-Mexico Trade,Mineral Fuels; Oils and Waxes,Pipeline,24025365.83,52966908208,9158499138,Import,25 - 27  Mineral Products
2014,Texas-Mexico Trade,Dairy Products,Vessel,160.151,353072.8052,607376,Import,01 - 05  Animal & Animal Products
2020,Texas-Mexico Trade,Inorganic Chemicals,Rail,265477.171,585277454.2,236492242,Import,28 - 38  Chemicals & Allied Industries
2015,Texas-Mexico Trade,Mineral Fuels; Oils and Waxes,Rail,528301.72,1164706873,104576283,Import,25 - 27  Mineral Products
2017,Texas-Mexico Trade,Sugars and Sugar Confectionery,Other,0,0,488766,Export,16 - 24  Foodstuffs
