Year,Port Original,POE,Region,Mode,Commodity Group,Commodity,Trade Type,Trade Value,Lat,Lon,Shipwt Metric Ton,Shipwt Pound
2021,Ysleta,El Paso + Ysleta,El Paso,Other,44 - 49  Wood & Wood Products,Wood and Articles,Export,6540,31.672276,-106.335328,0,0
2016,El Paso,El Paso + Ysleta,El Paso,Other,90 - 97  Miscellaneous,Toys; Games and Sport Equipment,Export,238861,31.764363,-106.451188,0,0
2020,Laredo,Laredo,Laredo,Other,86 - 89  Transportation,Locomotives and Traffic Signals,Export,75712,27.499561,-99.507412,0,0
2023,Brownsville,Brownsville,Pharr,Rail,72 - 83  Metals,Zinc and Articles,Import,6693021,25.95155,-97.40067,2419.673,5334470.184
2017,Del Rio,Del Rio,Laredo,Truck,28 - 38  Chemicals & Allied Industries,Tanning or Dyeing Extracts,Export,6079209,29.326784,-100.927612,0,0
2022,Rio Grande City,Rio Grande City,Pharr,Truck,84 - 85  Machinery / Electrical,Computer-Related Machinery and Parts,Import,74745117,26.365761,-98.802513,24818.283,54714992.77
2019,El Paso,El Paso + Ysleta,El Paso,Other,84 - 85  Machinery / Electrical,Computer-Related Machinery and Parts,Export,12516461,31.764363,-106.451188,0,0
2021,El Paso,El Paso + Ysleta,El Paso,Truck,68 - 71  Stone / Glass,Pearls; Stones; Metals and Imitation Jewelry,Export,16304173,31.764363,-106.451188,0,0
2020,Laredo,Laredo,Laredo,Truck,50 - 63  Textiles,Other Vegetable Fibers and Paper Yarn,Export,765647,27.499561,-99.507412,0,0
2018,Hidalgo,Hidalgo,Pharr,Truck,72 - 83  Metals,Iron and Steel,Export,72137520,26.095032,-98.271092,0,0
2014,Hidalgo,Hidalgo,Pharr,Truck,01 - 05  Animal & Animal Products,Dairy Products,Import,648352,26.095032,-98.271092,225.503,497149.42
2022,Roma,Roma,Pharr,Truck,28 - 38  Chemicals & Allied Industries,Essential Oils and Resinoids,Import,389047,26.403928,-99.018981,148.138,326588.6516
2013,Brownsville,Brownsville,Pharr,Truck,25 - 27  Mineral Products,Mineral Fuels; Oils and Waxes,Export,308984160,25.95155,-97.40067,0,0
2020,Laredo,Laredo,Laredo,Other,72 - 83  Metals,Miscellaneous Articles of Base Metals,Export,122530,27.499561,-99.507412,0,0
2016,Hidalgo,Hidalgo,Pharr,Truck,16 - 24  Foodstuffs,Preparations of Cereals and Flour,Import,81919913,26.095032,-98.271092,41561.1,91626615.99
2015,El Paso,El Paso + Ysleta,El Paso,Rail,44 - 49  Wood & Wood Products,Paper and Paperboard,Export,11710950,31.764363,-106.451188,0,0
2023,Ysleta,El Paso + Ysleta,El Paso,Truck,90 - 97  Miscellaneous,Furniture; Lamps and Prefabricated Buildings,Export,91758990,31.672276,-106.335328,0,0
2013,Brownsville,Brownsville,Pharr,Truck,39 - 40  Plastics / Rubbers,Rubber and Articles,Import,173334074,25.95155,-97.40067,61430.554,135431299.5
2013,Laredo,Laredo,Laredo,Other,50 - 63  Textiles,Man-made Filaments,Export,72000,27.499561,-99.507412,0,0
2019,Hidalgo,Hidalgo,Pharr,Truck,90 - 97  Miscellaneous,Furniture; Lamps and Prefabricated Buildings,Import,527493615,26.095032,-98.271092,149095.22,328698962.9
2013,Laredo,Laredo,Laredo,Other,98 - 99  Service,Special Classification Provisions,Import,14825561,27.499561,-99.507412,34.096,75168.874
2024,Del Rio,Del Rio,Laredo,Truck,44 - 49  Wood & Wood Products,Printed Books,Import,283207,29.326784,-100.927612,428.741,945212.8781
2013,El Paso,El Paso + Ysleta,El Paso,Truck,90 - 97  Miscellaneous,Toys; Games and Sport Equipment,Import,78441984,31.764363,-106.451188,6038.893,13313490.98
2015,Laredo,Laredo,Laredo,Rail,01 - 05  Animal & Animal Products,Dairy Products,Export,121445074,27.499561,-99.507412,0,0
2021,El Paso,El Paso + Ysleta,El Paso,Truck,86 - 89  Transportation,Locomotives and Traffic Signals,Export,406620,31.764363,-106.451188,0,0
2023,Eagle Pass,Eagle Pass,Laredo,Rail,90 - 97  Miscellaneous,Measuring and Testing Instruments,Import,1793212,28.705483,-100.511977,730.595,1610687.578
2017,Eagle Pass,Eagle Pass,Laredo,Truck,90 - 97  Miscellaneous,Arms and Ammunition and Parts,Import,27790351,28.705483,-100.511977,1122.252,2474144.164
2021,Ysleta,El Paso + Ysleta,El Paso,Truck,64 - 67  Footwear / Headgear,Feathers and Down,Import,11596,31.672276,-106.335328,9.068,19991.534
2020,Progreso,Progreso,Pharr,Truck,28 - 38  Chemicals & Allied Industries,Tanning or Dyeing Extracts,Import,90449,26.062133,-97.949958,12.519,27599.6927
2022,El Paso,El Paso + Ysleta,El Paso,Rail,86 - 89  Transportation,Vehicles Other than Railway,Import,3049009549,31.764363,-106.451188,284967.042,628245299.7
2014,Brownsville,Brownsville,Pharr,Rail,39 - 40  Plastics / Rubbers,Plastics and Articles,Export,13417452,25.95155,-97.40067,0,0
2018,El Paso,El Paso + Ysleta,El Paso,Truck,06 - 15  Vegetable Products,Animal or Vegetable Fats and Oils,Export,18811233,31.764363,-106.451188,0,0
2022,Laredo,Laredo,Laredo,Air,50 - 63  Textiles,Wadding; Felt and Nonwovens,Import,1067,27.499561,-99.507412,0.032,70.5479
2015,Laredo,Laredo,Laredo,Truck,28 - 38  Chemicals & Allied Industries,Explosives,Import,44819673,27.499561,-99.507412,1708.337,3766241.467
2024,El Paso,El Paso + Ysleta,El Paso,Other,06 - 15  Vegetable Products,Edible Vegetables and Roots,Export,514823,31.764363,-106.451188,0,0
2022,Brownsville,Brownsville,Pharr,Truck,50 - 63  Textiles,Cotton,Export,4403245,25.95155,-97.40067,0,0
2024,Eagle Pass,Eagle Pass,Laredo,Other,28 - 38  Chemicals & Allied Industries,Tanning or Dyeing Extracts,Export,4199,28.705483,-100.511977,0,0
2020,Presidio,Presidio,El Paso,Truck,90 - 97  Miscellaneous,Furniture; Lamps and Prefabricated Buildings,Import,20301063,29.561827,-104.394907,13412.057,29568548.39
2017,Laredo,Laredo,Laredo,Truck,90 - 97  Miscellaneous,Toys; Games and Sport Equipment,Export,472617769,27.499561,-99.507412,0,0
2018,Hidalgo,Hidalgo,Pharr,Other,90 - 97  Miscellaneous,Clocks; Watches and Parts,Export,4823966,26.095032,-98.271092,0,0
2019,Eagle Pass,Eagle Pass,Laredo,Truck,86 - 89  Transportation,Locomotives and Traffic Signals,Export,240036933,28.705483,-100.511977,0,0
2024,Hidalgo,Hidalgo,Pharr,Truck,50 - 63  Textiles,Impregnated Fabrics,Import,15646229,26.095032,-98.271092,1960.325,4321780.366
2019,Brownsville,Brownsville,Pharr,Foreign Trade Zones,39 - 40  Plastics / Rubbers,Plastics and Articles,Import,11282,25.95155,-97.40067,0.762,1679.9238
2019,Brownsville,Brownsville,Pharr,Truck,50 - 63  Textiles,Cotton,Export,4406930,25.95155,-97.40067,0,0
2024,Brownsville,Brownsville,Pharr,Air,84 - 85  Machinery / Electrical,Electrical Machinery; Equipment and Parts,Import,133487,25.95155,-97.40067,0.569,1254.4311
2021,Ysleta,El Paso + Ysleta,El Paso,Air,84 - 85  Machinery / Electrical,Computer-Related Machinery and Parts,Import,8337,31.672276,-106.335328,0.095,209.4393
2017,El Paso,El Paso + Ysleta,El Paso,Other,39 - 40  Plastics / Rubbers,Rubber and Articles,Export,663746,31.764363,-106.451188,0,0
2018,Rio Grande City,Rio Grande City,Pharr,Truck,01 - 05  Animal & Animal Products,Fish and Crustaceans,Import,241929,26.365761,-98.802513,20.549,45302.8267
2022,Laredo,Laredo,Laredo,Rail,28 - 38  Chemicals & Allied Industries,Pharmaceutical Products,Import,58292648,27.499561,-99.507412,40411.69,89092598.63
2017,El Paso,El Paso + Ysleta,El Paso,Other,16 - 24  Foodstuffs,Tobacco and Manufactured Tobacco,Export,3299653,31.764363,-106.451188,0,0
2016,Hidalgo,Hidalgo,Pharr,Other,01 - 05  Animal & Animal Products,Dairy Products,Export,29260,26.095032,-98.271092,0,0
2023,Laredo,Laredo,Laredo,Rail,90 - 97  Miscellaneous,Toys; Games and Sport Equipment,Export,1305463,27.499561,-99.507412,0,0
2015,Progreso,Progreso,Pharr,Truck,50 - 63  Textiles,Other Made up Textile Articles,Export,2261882,26.062133,-97.949958,0,0
2014,Progreso,Progreso,Pharr,Truck,68 - 71  Stone / Glass,Pearls; Stones; Metals and Imitation Jewelry,Export,13600,26.062133,-97.949958,0,0
2024,Eagle Pass,Eagle Pass,Laredo,Truck,28 - 38  Chemicals & Allied Industries,Essential Oils and Resinoids,Import,11986,28.705483,-100.511977,3.788,8351.1173
2014,El Paso,El Paso + Ysleta,El Paso,Truck,50 - 63  Textiles,Man-made Staple Fibers,Import,1367240,31.764363,-106.451188,196.83,433936.224
2017,Brownsville,Brownsville,Pharr,Truck,86 - 89  Transportation,Aircraft; Spacecraft and Parts,Export,9672074,25.95155,-97.40067,0,0
2018,Rio Grande City,Rio Grande City,Pharr,Truck,06 - 15  Vegetable Products,Edible Vegetables and Roots,Import,103745979,26.365761,-98.802513,149000.336,328489779.4
2023,Roma,Roma,Pharr,Truck,44 - 49  Wood & Wood Products,Printed Books,Export,517442,26.403928,-99.018981,0,0
2013,Hidalgo,Hidalgo,Pharr,Truck,28 - 38  Chemicals & Allied Industries,Pharmaceutical Products,Import,8322808,26.095032,-98.271092,384.407,847473.059
2018,Laredo,Laredo,Laredo,Truck,"41 - 43  Raw Hides, Skins, Leather, & Furs",Furskins and Artificial Fur,Import,24632,27.499561,-99.507412,4.539,10006.7899
2016,El Paso,El Paso + Ysleta,El Paso,Truck,86 - 89  Transportation,Vehicles Other than Railway,Import,2172711480,31.764363,-106.451188,282570.099,622960940.7
2013,Laredo,Laredo,Laredo,Rail,06 - 15  Vegetable Products,Lac; Gums; Resins and Saps,Export,2975281,27.499561,-99.507412,0,0
2014,Laredo,Laredo,Laredo,Rail,44 - 49  Wood & Wood Products,Printed Books,Import,844517,27.499561,-99.507412,308.896,680999.6645
2015,El Paso,El Paso + Ysleta,El Paso,Truck,28 - 38  Chemicals & Allied Industries,Soap and Organic Surface-Active Agents,Export,25391723,31.764363,-106.451188,0,0
2014,El Paso,El Paso + Ysleta,El Paso,Truck,72 - 83  Metals,Miscellaneous Articles of Base Metals,Export,163359239,31.764363,-106.451188,0,0
2014,Hidalgo,Hidalgo,Pharr,Air,84 - 85  Machinery / Electrical,Electrical Machinery; Equipment and Parts,Export,2936767,26.095032,-98.271092,38.013,83804.3869
2014,Hidalgo,Hidalgo,Pharr,Truck,68 - 71  Stone / Glass,Stone; Plaster; Cement and Asbestos,Import,55158867,26.095032,-98.271092,18150.282,40014554.93
2023,Eagle Pass,Eagle Pass,Laredo,Rail,28 - 38  Chemicals & Allied Industries,Organic Chemicals,Export,55509439,28.705483,-100.511977,0,0
2014,El Paso,El Paso + Ysleta,El Paso,Rail,44 - 49  Wood & Wood Products,Wood and Articles,Export,25862539,31.764363,-106.451188,0,0
2013,El Paso,El Paso + Ysleta,El Paso,Other,86 - 89  Transportation,Vehicles Other than Railway,Export,4867956,31.764363,-106.451188,0,0
2017,Brownsville,Brownsville,Pharr,Vessel,68 - 71  Stone / Glass,Glass,Export,10030,25.95155,-97.40067,0.325,716.5028
2017,Eagle Pass,Eagle Pass,Laredo,Truck,01 - 05  Animal & Animal Products,Live Animals,Import,33449093,28.705483,-100.511977,9436.224,20803329.86
2021,Laredo,Laredo,Laredo,Air,98 - 99  Service,Special Classification Provisions,Export,4489,27.499561,-99.507412,0.011,24.2508
2016,Laredo,Laredo,Laredo,Air,90 - 97  Miscellaneous,Arms and Ammunition and Parts,Export,6402714,27.499561,-99.507412,19.706,43444.3283
2016,Brownsville,Brownsville,Pharr,Truck,98 - 99  Service,Special Classification Provisions,Import,137738319,25.95155,-97.40067,30112.76,66387326.05
2020,Hidalgo,Hidalgo,Pharr,Truck,86 - 89  Transportation,Aircraft; Spacecraft and Parts,Export,6591946,26.095032,-98.271092,0,0
2024,Rio Grande City,Rio Grande City,Pharr,Truck,90 - 97  Miscellaneous,Furniture; Lamps and Prefabricated Buildings,Export,295935,26.365761,-98.802513,0,0
2022,Laredo,Laredo,Laredo,Truck,84 - 85  Machinery / Electrical,Electrical Machinery; Equipment and Parts,Export,12617917973,27.499561,-99.507412,0,0
2024,Laredo,Laredo,Laredo,Other,64 - 67  Footwear / Headgear,Footwear,Export,488170,27.499561,-99.507412,0,0
2017,Brownsville,Brownsville,Pharr,Rail,90 - 97  Miscellaneous,Measuring and Testing Instruments,Export,6624,25.95155,-97.40067,0,0
2021,Brownsville,Brownsville,Pharr,Vessel,98 - 99  Service,Special Classification Provisions,Export,543058,25.95155,-97.40067,5.675,12511.2431
2020,El Paso,El Paso + Ysleta,El Paso,Truck,28 - 38  Chemicals & Allied Industries,Pharmaceutical Products,Import,29149785,31.764363,-106.451188,7822.265,17245156.44
