Year,State,Commodity,Mode,Commodity Group,Trade Type,Trade Value,Shipwt Metric Ton,Shipwt Pound
2013,Texas-Mexico Trade,Articles of Iron and Steel,Truck,72 - 83  Metals,Import,2544487672,1060300.651,2337564708
2020,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Vessel,50 - 63  Textiles,Import,329,0.009,19.8416
2017,Texas-Mexico Trade,Printed Books,Other,44 - 49  Wood & Wood Products,Export,509236,0,0
2023,Texas-Mexico Trade,Tools of Base Metal,Air,72 - 83  Metals,Export,18883742,57.638,127070.139
2020,Texas-Mexico Trade,Miscellaneous Chemical Products,Rail,28 - 38  Chemicals & Allied Industries,Import,65155427,58051.829,127982479.8
2014,Texas-Mexico Trade,Glass,Foreign Trade Zones,68 - 71  Stone / Glass,Import,5182,1.147,2528.7042
2013,Texas-Mexico Trade,Organic Chemicals,Air,28 - 38  Chemicals & Allied Industries,Export,453514,124.866,275282.6318
2013,Texas-Mexico Trade,Other Made up Textile Articles,Vessel,50 - 63  Textiles,Export,228657,482.48,1063687.19
2020,Texas-Mexico Trade,Copper and Articles,Air,72 - 83  Metals,Import,6947,0.007,15.4323
2016,Texas-Mexico Trade,Preparations of Fish and Meat,Truck,16 - 24  Foodstuffs,Export,212286921,0,0
2022,Texas-Mexico Trade,Miscellaneous Edible Preparations,Rail,16 - 24  Foodstuffs,Export,1616913,0,0
2020,Texas-Mexico Trade,Raw Hides and Skins,Truck,"41 - 43  Raw Hides, Skins, Leather, & Furs",Import,61520096,8218.318,18118304.55
2020,Texas-Mexico Trade,Glass,Truck,68 - 71  Stone / Glass,Export,534259586,0,0
2018,Texas-Mexico Trade,Knitted or Crocheted Apparel,Truck,50 - 63  Textiles,Import,724029409,39259.164,86551711.66
2020,Texas-Mexico Trade,Articles of Leather and Handbags,Rail,"41 - 43  Raw Hides, Skins, Leather, & Furs",Import,1503972,272.291,600299.3877
2016,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,50 - 63  Textiles,Export,197062120,0,0
2013,Texas-Mexico Trade,Feathers and Down,Rail,64 - 67  Footwear / Headgear,Export,34380,0,0
2014,Texas-Mexico Trade,Locomotives and Traffic Signals,Vessel,86 - 89  Transportation,Export,2920038,1890.05,4166850.385
2014,Texas-Mexico Trade,Organic Chemicals,Vessel,28 - 38  Chemicals & Allied Industries,Import,323794613,231580.118,510547183.4
2016,Texas-Mexico Trade,Wood and Articles,Vessel,44 - 49  Wood & Wood Products,Import,91598,53.446,117828.3565
2015,Texas-Mexico Trade,Measuring and Testing Instruments,Vessel,90 - 97  Miscellaneous,Export,8499281,46.494,102501.8063
2014,Texas-Mexico Trade,Vegetable Plaiting Materials,Air,06 - 15  Vegetable Products,Export,16100,6.914,15242.7732
2017,Texas-Mexico Trade,Clocks; Watches and Parts,Truck,90 - 97  Miscellaneous,Export,13324504,0,0
2017,Texas-Mexico Trade,Dairy Products,Vessel,01 - 05  Animal & Animal Products,Import,402294,106.846,235555.3006
2023,Texas-Mexico Trade,Essential Oils and Resinoids,Vessel,28 - 38  Chemicals & Allied Industries,Import,1057575,106.075,233855.5348
2013,Texas-Mexico Trade,Live Animals,Truck,01 - 05  Animal & Animal Products,Import,121739446,55697.907,122792965.9
2020,Texas-Mexico Trade,Animal or Vegetable Fats and Oils,Vessel,06 - 15  Vegetable Products,Import,19448,19.359,42679.3241
2014,Texas-Mexico Trade,Miscellaneous Edible Preparations,Rail,16 - 24  Foodstuffs,Import,15515478,6576.556,14498835.96
2022,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Vessel,25 - 27  Mineral Products,Export,2028692,19497.733,42985178.31
2023,Texas-Mexico Trade,Electrical Machinery; Equipment and Parts,Truck,84 - 85  Machinery / Electrical,Export,33112197773,0,0
2021,Texas-Mexico Trade,Cocoa and Cocoa Preparations,Truck,16 - 24  Foodstuffs,Export,265967366,0,0
2024,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,50 - 63  Textiles,Export,398407923,0,0
2018,Texas-Mexico Trade,Malts; Starches and Inulin,Truck,06 - 15  Vegetable Products,Import,26089195,30367.252,66948385.33
2014,Texas-Mexico Trade,Headgear,Air,64 - 67  Footwear / Headgear,Export,89847,3.029,6677.8073
2014,Texas-Mexico Trade,Articles of Iron and Steel,Truck,72 - 83  Metals,Import,2796441572,1152326.264,2540446622
2013,Texas-Mexico Trade,Fertilizers,Truck,28 - 38  Chemicals & Allied Industries,Import,17477156,15005.816,33082188.4
2024,Texas-Mexico Trade,Paper and Paperboard,Truck,44 - 49  Wood & Wood Products,Import,1223577012,503028.822,1108989625
2015,Texas-Mexico Trade,Aircraft; Spacecraft and Parts,Truck,86 - 89  Transportation,Export,898998013,0,0
2014,Texas-Mexico Trade,Raw Hides and Skins,Other,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,50344,0,0
2023,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Other,50 - 63  Textiles,Import,1158,0.1,220.4624
2014,Texas-Mexico Trade,Preparations of Fish and Meat,Rail,16 - 24  Foodstuffs,Export,37961,0,0
2023,Texas-Mexico Trade,Vehicles Other than Railway,Vessel,86 - 89  Transportation,Import,950611356,74570.552,164400060
2021,Texas-Mexico Trade,Oil Seeds and Oleaginous Fruits,Truck,06 - 15  Vegetable Products,Import,39479471,37191.853,81994067.35
