State,StateCode,Year,TradeType,Mode,TradeValue
Kentucky,KY,2020,Export,Truck,1452638582
Georgia,GA,2016,Export,Other (including unknown),42494941
Arizona,AZ,2019,Export,Rail,1468808309
Ohio,OH,2024,Import,Truck,9956081916
New Jersey,NJ,2020,Export,Truck,2333200058
Michigan,MI,2017,Export,Rail,3711600281
California,CA,2016,Export,Truck,21253732822
Mississippi,MS,2020,Export,Truck,592857695
Utah,UT,2018,Import,Air,1372500407
Maryland,MD,2017,Import,Rail,169972734
Maryland,MD,2015,Export,Truck,322148845
Mississippi,MS,2017,Export,Other (including unknown),3194887
Mississippi,MS,2024,Export,Truck,815318711
Illinois,IL,2023,Export,Vessel,302658856
New Mexico,NM,2020,Import,Air,4300002
Nevada,NV,2019,Import,Vessel,1200173
New Jersey,NJ,2019,Export,Air,145953224
Texas,TX,2015,Export,Truck,69773391724
Wisconsin,WI,2015,Export,Truck,2640653174
Alaska,AK,2015,Import,Vessel,1360157
Maine,ME,2016,Export,Truck,23347872
Idaho,"ID",2017,Import,Air,2307476
Connecticut,CT,2018,Export,Truck,596682073
Virginia,VA,2015,Export,Truck,1062931134
Missouri,MO,2020,Export,Truck,1309952976
Minnesota,MN,2023,Export,Vessel,6870846
New York,NY,2024,Export,Rail,109657318
Virginia,VA,2018,Export,Air,48886324
Arkansas,AR,2020,Import,Rail,33070349
Illinois,IL,2019,Export,Rail,2266706454
Washington,WA,2023,Import,Truck,1390406761
Connecticut,CT,2023,Export,Truck,832477498
Connecticut,CT,2016,Export,Truck,782380552
Utah,UT,2024,Export,Truck,968128951
Florida,FL,2017,Import,Vessel,2104807628
North Carolina,NC,2016,Export,Air,134501320
Kentucky,KY,2023,Export,Air,691425078
Iowa,IA,2024,Import,Air,27668519
New Jersey,NJ,2019,Export,Truck,2326914201
Minnesota,MN,2016,Export,Truck,1761383993
Indiana,IN,2022,Export,Truck,4002656144
Louisiana,LA,2024,Import,Truck,520522953
Florida,FL,2023,Export,Truck,2527401870
Rhode Island,RI,2021,Import,Truck,171772502
Maryland,MD,2022,Import,Truck,1475970438
Ohio,OH,2022,Export,Rail,757775587
Oregon,OR,2020,Import,Truck,700997547
New Jersey,NJ,2022,Export,Vessel,74860162
South Carolina,SC,2019,Export,Truck,1633623620
Utah,UT,2016,Export,Truck,646000300
Oklahoma,OK,2019,Export,Air,20644813
Washington,WA,2024,Export,Truck,1872549417
Massachusetts,MA,2021,Import,Air,270361916
Idaho,"ID",2016,Import,Truck,112335346
Massachusetts,MA,2024,Import,Vessel,62688020
New York,NY,2016,Export,Truck,2182536682
Alabama,AL,2015,Import,Truck,1800724568
Nevada,NV,2020,Export,Vessel,2698645
Ohio,OH,2022,Import,Other (including unknown),243068
Florida,FL,2020,Export,Other (including unknown),32873909
Oklahoma,OK,2021,Export,Truck,433837105
Iowa,IA,2023,Export,Truck,1078643248
Florida,FL,2015,Import,Air,852442475
Tennessee,TN,2023,Export,Truck,4779733674
Missouri,MO,2016,Export,Air,24228051
Florida,FL,2017,Export,Vessel,554297715
Arkansas,AR,2019,Export,Truck,553750530
Arizona,AZ,2019,Export,Truck,5839147500
North Carolina,NC,2017,Export,Vessel,104790607
Connecticut,CT,2022,Export,Truck,817170712
Oregon,OR,2020,Export,Truck,292430527
Maryland,MD,2022,Import,Other (including unknown),8700
Alabama,AL,2016,Export,Vessel,916372681
Delaware,DE,2017,Export,Truck,300001413
New York,NY,2018,Export,Other (including unknown),14526563
Pennsylvania,PA,2023,Export,Other (including unknown),39964744
Nevada,NV,2017,Import,Truck,516483226
Missouri,MO,2021,Export,Truck,1877817001
Indiana,IN,2017,Export,Truck,2968590606
Colorado,CO,2024,Import,Air,43375530
North Dakota,ND,2020,Export,Rail,202304554
South Carolina,SC,2015,Export,Vessel,268211278
Indiana,IN,2024,Import,Rail,396564695
State Unknown,DU,2016,Export,Vessel,105980998
Alabama,AL,2017,Import,Truck,2228790343
Mississippi,MS,2023,Import,Truck,2426620937
Iowa,IA,2020,Export,Other (including unknown),3642348
Utah,UT,2024,Import,Air,1550714328
State Unknown,DU,2016,Import,Rail,425742
Pennsylvania,PA,2021,Import,Truck,5236474780
South Carolina,SC,2020,Export,Truck,1437484657
Tennessee,TN,2018,Export,Air,129782076
California,CA,2017,Export,Truck,22169805251
Kansas,KS,2015,Export,Other (including unknown),42295915
Idaho,"ID",2021,Export,Truck,112091620
West Virginia,WV,2019,Export,Truck,75163635
Indiana,IN,2016,Export,Truck,2854657664
Kentucky,KY,2018,Export,Other (including unknown),3978610
Florida,FL,2018,Import,Vessel,2156839733
Pennsylvania,PA,2019,Import,Truck,5485798921
Virginia,VA,2023,Export,Truck,1027353127
Maryland,MD,2023,Export,Other (including unknown),6124533
Iowa,IA,2023,Import,Air,25597005
Colorado,CO,2019,Import,Truck,1451807641
Maryland,MD,2019,Export,Truck,250412215
South Carolina,SC,2015,Import,Imports into Foreign Trade Zones,865354278
New Jersey,NJ,2022,Import,Truck,4913130526
Washington,WA,2017,Export,Truck,980912915
California,CA,2021,Import,Air,938157271
Texas,TX,2017,Export,Other (including unknown),427883120
Minnesota,MN,2024,Export,Other (including unknown),19184059
Colorado,CO,2023,Export,Truck,1355470802
Georgia,GA,2016,Export,Truck,2687628854
Indiana,IN,2024,Export,Rail,2645230627
New Jersey,NJ,2017,Export,Vessel,101884301
Oklahoma,OK,2018,Export,Other (including unknown),9026741
Georgia,GA,2021,Export,Rail,279542362
Michigan,MI,2018,Import,Truck,20906816634
California,CA,2015,Export,Other (including unknown),188966113
Nevada,NV,2019,Export,Truck,411797290
Texas,TX,2019,Export,Vessel,17528141919
Alabama,AL,2015,Export,Truck,1244051209
New York,NY,2017,Export,Air,516777652
South Dakota,SD,2020,Export,Truck,132887516
Florida,FL,2017,Export,Other (including unknown),80951310
Alabama,AL,2017,Export,Truck,890200912
Minnesota,MN,2018,Export,Truck,1840006216
South Dakota,SD,2016,Export,Rail,87338344
Kansas,KS,2020,Export,Truck,716899653
Florida,FL,2016,Export,Rail,127678729
California,CA,2016,Export,Rail,1017716402
Oregon,OR,2022,Export,Truck,4708234861
Tennessee,TN,2019,Export,Truck,3349233580
South Carolina,SC,2018,Export,Other (including unknown),189583650
Kansas,KS,2024,Export,Truck,1505664965
Georgia,GA,2021,Export,Other (including unknown),123363608
Virginia,VA,2022,Export,Truck,877551391
Texas,TX,2016,Export,Other (including unknown),415606535
Delaware,DE,2024,Import,Truck,388561432
Illinois,IL,2015,Export,Rail,2019777673
New Mexico,NM,2017,Export,Other (including unknown),7035054
New Mexico,NM,2016,Export,Truck,1518671621
Kansas,KS,2015,Export,Truck,670776845
Texas,TX,2019,Import,Air,509148956
Michigan,MI,2019,Import,Truck,19894835426
Washington,WA,2024,Import,Rail,142058975
Rhode Island,RI,2024,Import,Truck,211377278
Arkansas,AR,2024,Import,Truck,786597157
Colorado,CO,2016,Import,Air,43174792
Connecticut,CT,2021,Export,Truck,651029897
Oregon,OR,2015,Import,Truck,538148479
Illinois,IL,2022,Export,Air,685156876
Kentucky,KY,2015,Export,Rail,344972994
Massachusetts,MA,2023,Export,Other (including unknown),5333432
Mississippi,MS,2021,Import,Air,19323988
Idaho,"ID",2024,Import,Air,4558896
New Hampshire,NH,2020,Import,Truck,237662823
Indiana,IN,2020,Import,Rail,214849288
Minnesota,MN,2023,Import,Truck,3049718702
Arizona,AZ,2017,Export,Other (including unknown),81138123
Illinois,IL,2016,Import,Vessel,254410417
Maryland,MD,2020,Import,Truck,1243652682
Indiana,IN,2020,Export,Rail,1227741407
Michigan,MI,2021,Export,Rail,2342677815
North Dakota,ND,2024,Import,Truck,226076656
North Carolina,NC,2017,Import,Truck,4124002544
New Jersey,NJ,2016,Import,Vessel,273184785
Louisiana,LA,2018,Export,Rail,715825705
Wyoming,WY,2019,Import,Air,341949
Texas,TX,2019,Import,Other (including unknown),335951316
Rhode Island,RI,2019,Export,Truck,168638105
Maryland,MD,2017,Export,Truck,293076090
Michigan,MI,2023,Export,Other (including unknown),19459771
